data_year,victim_id,circumstances_id,justifiable_force_id
2021,164080929,21,1
2021,153842996,21,1
2021,147786390,21,1
2021,165710711,21,2
2021,165722589,20,3
2021,164111071,20,3
2021,164576946,20,3
2021,154586478,20,3
2021,154598360,20,5
2021,154598361,20,5
2021,156440937,20,5
2021,155634815,21,7
