data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2021,149333738,150125068,6,,
2021,149333739,150125069,1,,
2021,149333740,150125069,5,,
2021,149333741,150125069,7,,
2021,149333742,150125070,6,,
2021,149333744,150125072,6,,
2021,149333745,150125073,6,,
2021,148124459,148734404,1,,
2021,148124460,148734404,5,,
2021,148124461,148734404,7,,
2021,149333746,150125075,6,,
2021,149333747,150125076,1,,
2021,149333748,150125076,5,,
2021,149333749,150125076,7,,
2021,149333750,150125077,1,,
2021,149333751,150125077,5,,
2021,149333752,150125077,7,,
2021,149333753,150125078,6,,
2021,149333754,150125079,6,,
2021,149333755,150125080,5,,
2021,149333756,150125080,7,,
2021,149333757,150125082,6,,
2021,149333758,150125083,6,,
2021,149333759,150125084,6,,
2021,149333760,150125085,6,,
2021,149333761,150125086,6,,
2021,149333762,150125087,1,,
2021,149333763,150125087,4,,
2021,149333764,150125087,7,,
2021,149333765,150125088,6,,
2021,149333766,150125089,6,,
2021,149333767,150125090,6,,
2021,149333768,150125091,6,,
2021,149333769,150125092,6,,
2021,149333770,150125094,1,,
2021,149333771,150125094,5,,
2021,149333772,150125094,7,,
2021,149333773,150125098,7,,
2021,149019435,149757658,1,,
2021,149019436,149757658,5,,
2021,149019437,149757658,7,,
2021,149333774,150125099,6,,
2021,149333775,150125100,6,,
2021,149333776,150125101,6,,
2021,149333777,150125103,1,,
2021,149333778,150125103,7,,
2021,149333779,150125104,6,,
2021,148124655,148734601,1,,
2021,148124656,148734601,7,,
2021,149333780,150125106,6,,
2021,149333781,150125109,1,,
2021,149333782,150125109,5,,
2021,149333783,150125109,7,,
2021,149333785,150125113,6,,
2021,149333786,150125115,6,,
2021,149333787,150125116,1,,
2021,149333788,150125117,6,,
2021,149333789,150125118,6,,
2021,149333790,150125119,6,,
2021,149333791,150125120,1,,
2021,149333792,150125120,5,,
2021,149333793,150125120,7,,
2021,149333794,150125121,1,,
2021,149333795,150125121,7,,
2021,149333796,150125122,1,,
2021,149333797,150125122,5,,
2021,149333798,150125122,7,,
2021,149333799,150125124,6,,
2021,148124791,148734752,1,,
2021,149333800,150125130,1,,
2021,149333801,150125130,5,,
2021,149333802,150125130,7,,
2021,149333803,150125131,1,,
2021,149333804,150125131,5,,
2021,149333805,150125131,7,,
2021,149333806,150125132,1,,
2021,149333807,150125132,5,,
2021,149333808,150125132,7,,
2021,149333809,150125133,6,,
2021,149333810,150125134,1,,
2021,149333811,150125134,5,,
2021,149333812,150125134,7,,
2021,149333813,150125136,1,,
2021,149333814,150125136,5,,
2021,149333815,150125136,7,,
2021,149333816,150125137,1,,
2021,149333817,150125137,5,,
2021,149333818,150125137,7,,
2021,149333819,150125138,1,,
2021,149333820,150125138,5,,
2021,149333821,150125138,7,,
2021,148124878,148734828,6,,
2021,149333822,150125139,7,,
2021,149333823,150125140,6,,
2021,149333824,150125142,1,,
2021,149333825,150125142,5,,
2021,149333826,150125142,7,,
2021,149333827,150125143,1,,
2021,149333828,150125143,5,,
2021,149333829,150125143,7,,
2021,149333830,150125144,6,,
2021,149333831,150125145,6,,
2021,149333832,150125146,6,,
2021,148124923,148734874,6,,
2021,149333833,150125147,1,,
2021,149333834,150125147,5,,
2021,149333835,150125147,7,,
2021,149333836,150125148,1,,
2021,149333837,150125148,5,,
2021,149333838,150125148,7,,
2021,149333839,150125149,6,,
2021,149333840,150125150,6,,
2021,149333841,150125151,1,,
2021,149333842,150125151,5,,
2021,149333843,150125151,7,,
2021,149333844,150125152,1,,
2021,149333845,150125152,5,,
2021,149333846,150125152,7,,
2021,149333847,150125153,6,,
2021,149333848,150125154,6,,
2021,149333849,150125155,1,,
2021,149333850,150125155,5,,
2021,149333851,150125155,7,,
2021,149333852,150125156,6,,
2021,149333853,150125157,6,,
2021,149333854,150125160,6,,
2021,149333855,150125161,1,,
2021,149333856,150125161,5,,
2021,149333857,150125161,7,,
2021,149333858,150125163,6,,
2021,149333859,150125164,6,,
2021,149333860,150125165,6,,
2021,149333863,150125170,6,,
2021,149333865,150125172,6,,
2021,149333867,150125174,6,,
2021,149333868,150125175,6,,
2021,148125076,148735043,6,,
2021,149333869,150125177,6,,
2021,149333870,150125178,1,,
2021,149333871,150125178,5,,
2021,149333872,150125178,7,,
2021,149333873,150125179,1,,
2021,149333874,150125179,5,,
2021,149333875,150125179,7,,
2021,149333876,150125180,6,,
2021,149333877,150125181,6,,
2021,149333878,150125182,6,,
2021,149333879,150125183,1,,
2021,149333880,150125183,7,,
2021,149333881,150125184,6,,
2021,150042859,150953118,1,,
2021,150042860,150953118,5,,
2021,150042861,150953118,7,,
2021,149333882,150125185,6,,
2021,149333883,150125186,3,,
2021,148125140,148735107,5,,
2021,148125141,148735107,7,,
2021,149333884,150125188,6,,
2021,148125154,148735120,6,,
2021,148125157,148735123,6,,
2021,149333885,150125189,6,,
2021,148125178,148735144,6,,
2021,148125184,148735150,1,,
2021,148125187,148735153,1,,
2021,148125193,148735158,1,,
2021,148125194,148735158,5,,
2021,148125195,148735158,7,,
2021,150042880,150953138,1,,
2021,150042881,150953138,5,,
2021,150042882,150953138,7,,
2021,148125209,148735173,1,,
2021,148125210,148735173,5,,
2021,148125211,148735173,7,,
2021,148125214,148735179,1,,
2021,148125215,148735179,5,,
2021,148125216,148735179,7,,
2021,148125219,148735182,6,,
2021,148125228,148735192,6,,
2021,148125233,148735200,6,,
2021,148125243,148735211,6,,
2021,148125244,148735212,6,,
2021,148125247,148735215,1,,
2021,149333899,150125208,6,,
2021,149333900,150125209,4,,
2021,149333901,150125211,4,,
2021,149333902,150125212,5,,
2021,149333903,150125212,7,,
2021,149333904,150125213,4,,
2021,149333905,150125214,4,,
2021,149333906,150125215,4,,
2021,149333907,150125217,1,,
2021,149333908,150125217,5,,
2021,149333909,150125217,7,,
2021,149333910,150125218,4,,
2021,149333911,150125219,1,,
2021,149333912,150125219,5,,
2021,149333913,150125219,6,,
2021,149333914,150125219,7,,
2021,149333915,150125220,1,,
2021,149333916,150125221,7,,
2021,149333917,150125222,6,,
2021,149333918,150125223,1,,
2021,149333919,150125225,4,,
2021,149333920,150125226,1,,
2021,149333921,150125227,4,,
2021,149333922,150125229,6,,
2021,149333923,150125231,1,,
2021,149333924,150125231,7,,
2021,149333925,150125233,6,,
2021,149333926,150125234,1,,
2021,149333927,150125238,6,,
2021,149333928,150125240,6,,
2021,149333929,150125241,6,,
2021,149333930,150125242,6,,
2021,149333931,150125244,1,,
2021,149333932,150125245,6,,
2021,149333933,150125246,6,,
2021,149333934,150125247,5,,
2021,149333935,150125247,7,,
2021,149333936,150125248,4,,
2021,149333937,150125249,4,,
2021,149333938,150125254,1,,
2021,149333939,150125255,7,,
2021,149333940,150125256,6,,
2021,149333941,150125257,6,,
2021,149333942,150125260,4,,
2021,149333943,150125261,6,,
2021,149333944,150125262,6,,
2021,149333945,150125263,1,,
2021,149333946,150125263,4,,
2021,149333947,150125265,5,,1
2021,149333948,150125265,7,1,
2021,149333949,150125267,7,,
2021,149333950,150125268,1,,
2021,149333951,150125270,6,,
2021,149333952,150125271,5,,
2021,149333953,150125271,7,,
2021,149333954,150125272,1,,
2021,149333955,150125272,7,,
2021,149333956,150125273,1,,
2021,149333957,150125274,1,,
2021,149333958,150125275,1,,
2021,149333959,150125276,1,,
2021,149333960,150125278,1,,
2021,149333961,150125278,5,,
2021,149333962,150125278,7,,
2021,149333963,150125279,5,,
2021,149333964,150125279,7,,
2021,149333965,150125280,6,,
2021,149333966,150125281,6,,
2021,149333967,150125283,6,,
2021,149333968,150125284,6,,
2021,149333969,150125285,1,,
2021,149333970,150125286,6,,
2021,149334004,150125314,4,,
2021,149334025,150125344,6,,
2021,149334033,150125352,6,,
2021,149334041,150125358,5,,
2021,149334042,150125358,7,,
2021,149334052,150125369,7,,
2021,149334064,150125388,5,,
2021,149334065,150125388,7,,
2021,149334077,150125399,1,,
2021,149334126,150125457,7,,
2021,149334135,150125465,4,,
2021,149948475,150846295,7,,
2021,149334157,150125485,5,,
2021,149334158,150125485,7,,
2021,149334171,150125499,1,,
2021,149334197,150125523,7,,
2021,149334208,150125537,6,,
2021,149334220,150125550,6,,
2021,149334235,150125562,6,,
2021,149334239,150125567,6,,
2021,149334242,150125572,6,,
2021,149334243,150125573,6,,
2021,149334244,150125574,1,,
2021,149334245,150125575,1,,
2021,149334246,150125576,1,,
2021,149334247,150125578,4,,
2021,149334248,150125580,1,,
2021,149334249,150125581,4,,
2021,149334250,150125582,1,,
2021,149334251,150125584,1,,
2021,149334252,150125585,1,,
2021,149334253,150125585,4,,
2021,149334254,150125585,5,,
2021,149334255,150125585,7,,
2021,149334256,150125587,6,,
2021,149334257,150125588,1,,
2021,149334258,150125590,6,,
2021,149334259,150125591,6,,
2021,149334260,150125599,6,,
2021,149334261,150125601,1,,
2021,149334262,150125604,6,,
2021,149334263,150125605,1,,
2021,149334264,150125606,6,,
2021,149334265,150125608,6,,
2021,149334266,150125615,1,,
2021,149334267,150125616,1,,
2021,149334268,150125617,7,,
2021,149334269,150125619,6,,
2021,149334270,150125622,6,,
2021,149334271,150125623,2,,
2021,149334272,150125624,6,,
2021,149334273,150125626,7,,
2021,149334274,150125628,4,,
2021,149334275,150125629,7,,
2021,149334276,150125631,7,,
2021,149334277,150125633,6,,
2021,149334278,150125634,1,,
2021,149334279,150125634,6,,
2021,149334280,150125635,6,,
2021,149334281,150125636,6,,
2021,149334282,150125637,6,,
2021,149334283,150125639,5,,
2021,149334284,150125639,7,,
2021,149334285,150125640,1,,
2021,149334286,150125643,6,,
2021,149334287,150125646,6,,
2021,149334288,150125648,1,,
2021,149334289,150125652,1,,
2021,149334290,150125653,6,,
2021,149334291,150125655,1,,
2021,149334292,150125658,1,,
2021,149334293,150125661,6,,
2021,149334294,150125662,7,,
2021,149334295,150125663,4,,
2021,149334296,150125665,6,,
2021,149334297,150125666,4,,
2021,149334298,150125668,5,,
2021,149334299,150125668,7,,
2021,149334300,150125669,1,,
2021,149334301,150125670,4,,
2021,149334302,150125671,6,,
2021,149334303,150125673,6,,
2021,149334304,150125674,6,,
2021,149334305,150125675,6,,
2021,149334306,150125676,1,,
2021,149334307,150125677,6,,
2021,149334308,150125678,1,,
2021,149334309,150125680,6,,
2021,149334310,150125683,7,,
2021,149334311,150125684,5,,
2021,149334312,150125684,7,,
2021,149334313,150125686,7,,
2021,149334314,150125687,7,1,
2021,149334315,150125688,6,,
2021,149334316,150125689,1,,
2021,149334317,150125691,7,,
2021,149334318,150125693,7,,
2021,149334319,150125694,4,,
2021,149334320,150125695,6,,
2021,149334321,150125696,6,,
2021,149334322,150125697,4,,
2021,149334323,150125700,6,,
2021,149334324,150125701,6,,
2021,149334325,150125703,6,,
2021,149334326,150125706,6,,
2021,149334327,150125707,1,,
