data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2021,45935960,150164771,1,2021-06-25,1,N,120,30,27,M,20,20,R,,,27,
2021,45935961,150164771,2,2021-06-25,1,N,120,32,29,M,10,20,R,,,29,
2021,45935962,150164771,3,2021-06-25,3,N,120,35,32,M,10,20,R,,,32,
2021,45935980,150164813,1,2021-06-25,1,N,35A,60,57,M,10,20,R,,,57,
2021,45935984,150164824,1,2021-06-25,1,N,35B,40,37,M,10,20,R,,,37,
2021,45935985,150164828,1,2021-06-25,1,N,13A,42,39,M,20,10,R,,,39,
2021,45935996,150164869,1,2021-06-25,2,N,23C,54,51,M,20,20,R,,,51,
2021,45936012,150164901,1,2021-06-25,1,N,23C,27,24,M,20,20,N,,,24,
2021,45936014,150164906,1,2021-06-25,1,N,13B,27,24,M,10,20,R,,,24,
2021,45936058,150164998,1,2021-06-25,1,N,13A,29,26,M,20,20,R,,,26,
2021,45936060,150165001,1,2021-06-25,1,N,35A,27,24,M,20,20,N,,,24,
2021,45936063,150165014,1,2021-06-25,1,N,23C,33,30,M,20,20,N,,,30,
2021,45936082,150165046,1,2021-06-29,3,N,90Z,58,55,F,10,20,R,,,55,
2021,45936083,150165049,1,2021-06-25,1,N,35A,41,38,M,10,20,N,,,38,
2021,45936084,150165049,2,2021-06-25,1,N,35A,36,33,F,10,20,N,,,33,
2021,45936087,150165055,1,2021-06-25,1,N,90Z,23,20,M,20,10,R,,,20,
2021,45936091,150165063,1,2021-06-25,1,N,280,33,30,F,20,20,N,,,30,
2021,45936092,150165065,1,2021-06-25,1,N,13A,18,15,M,10,20,R,H,,15,
2021,45936096,150165074,1,2021-06-25,1,N,35A,32,29,M,20,20,N,,,29,
2021,45936102,150165087,1,2021-06-25,1,N,13B,33,30,M,10,20,R,,,30,
2021,45936108,150165100,1,2021-06-25,1,N,280,45,42,M,20,20,R,,,42,
2021,45936124,150165123,1,2021-06-25,1,C,13B,25,22,F,10,10,R,,,22,
2021,45936145,150165157,1,2021-06-26,1,N,35A,24,21,M,20,20,N,,,21,
2021,45936151,150165164,1,2021-06-26,1,N,13A,24,21,M,20,20,N,,,21,
2021,45936152,150165164,2,2021-06-26,2,N,90Z,40,37,M,20,20,N,,,37,
2021,45936163,150165187,1,2021-06-26,1,N,90B,32,29,F,20,20,N,,,29,
2021,45936166,150165200,1,2021-06-26,1,N,13B,30,27,F,20,20,R,,,27,
2021,45936196,150165261,1,2021-06-26,2,N,13B,31,28,M,20,20,R,,,28,
2021,45936199,150165266,1,2021-06-26,1,N,520,21,18,M,20,20,R,,,18,
2021,45936214,150165308,1,2021-06-26,1,N,35B,31,28,M,20,20,N,,,28,
2021,45936221,150165324,1,2021-06-26,2,N,35A,33,30,F,20,20,N,,,30,
