data_year,suspect_using_id,offense_id
2021,4,179961384
2021,4,179961385
2021,3,179961386
2021,4,179961387
2021,3,179961388
2021,4,179961389
2021,4,179961390
2021,4,179961391
2021,3,179961392
2021,4,179961393
2021,4,179961394
2021,4,179961395
2021,4,179961396
2021,4,179961397
2021,4,179961398
2021,4,179961399
2021,4,179961400
2021,4,179961401
2021,3,179961402
2021,3,179961403
2021,4,179961404
2021,3,179961405
2021,4,179961406
2021,4,179961407
2021,4,179961408
2021,4,179961409
2021,4,179961410
2021,4,179961411
2021,4,179961412
2021,4,179961413
2021,4,178783345
2021,4,179961414
2021,4,179961415
2021,3,179961416
2021,4,179961417
2021,3,179961418
2021,4,179961419
2021,4,179961420
2021,4,179961421
2021,4,179961422
2021,4,179961423
2021,4,179961424
2021,3,179961425
2021,4,179961426
2021,4,179961427
2021,4,179961428
2021,3,179961429
2021,3,179961430
2021,3,179961431
2021,3,179961432
2021,4,179961433
2021,4,179961434
2021,4,179961435
2021,4,179961436
2021,4,179961437
2021,4,179961438
2021,1,179961439
2021,4,179961440
2021,4,179961441
2021,3,179961442
2021,3,179961443
2021,4,179961444
2021,4,179961445
2021,3,179961446
2021,3,179961447
2021,4,180913934
2021,4,179961448
2021,4,179961449
2021,4,179961450
2021,4,179961451
2021,3,179961452
2021,4,179961453
2021,4,179961454
2021,4,179961455
2021,4,179961456
2021,4,179961457
2021,4,179961458
2021,4,179961459
2021,4,179961460
2021,4,179961461
2021,4,179961462
2021,4,179961463
2021,3,179961464
2021,3,179961465
2021,3,179961466
2021,3,179961467
2021,4,179961468
2021,4,179961469
2021,4,179961470
2021,4,179961471
2021,3,179961472
2021,4,179961473
2021,4,179961474
2021,4,179961475
2021,3,179961476
2021,4,179961477
2021,4,179961478
2021,4,179961479
2021,4,179961480
2021,4,179961481
2021,4,179961482
2021,4,179961483
2021,1,179535210
2021,4,179961484
2021,4,179961485
2021,4,179961486
2021,4,179961487
2021,4,179961488
2021,4,179961489
2021,4,179961490
2021,3,179961491
2021,4,179961492
2021,4,179961493
2021,4,179961494
2021,4,179961495
2021,4,179961496
2021,3,179961497
2021,4,179535211
2021,3,179961498
2021,4,179961499
2021,3,179961500
2021,4,179961501
2021,4,179961502
2021,4,179961503
2021,3,179961504
2021,4,179961505
2021,4,179961506
2021,3,179961507
2021,4,179535212
2021,4,179961508
2021,4,179961509
2021,3,179961510
2021,4,179961511
2021,4,179961512
2021,3,179961513
2021,3,179961514
2021,4,179961515
2021,4,179961516
2021,4,179961517
2021,3,179961518
2021,3,179961519
2021,4,179961520
2021,4,179961521
2021,4,179961522
2021,4,179961523
2021,4,179961524
2021,4,179961525
2021,4,179961526
2021,3,179961527
2021,4,179961528
2021,4,179961529
2021,3,178359434
2021,4,179535214
2021,4,179961530
2021,3,179961531
2021,4,179961532
2021,4,179961533
2021,4,179961540
2021,4,179961545
2021,3,179961551
2021,3,179961583
2021,3,179961588
2021,1,179961591
2021,4,179961600
2021,4,179961631
2021,4,179961647
2021,4,179961666
2021,4,179961672
2021,4,179961712
2021,3,179961723
2021,4,179961752
2021,1,179961761
2021,3,179961764
2021,4,179961769
2021,4,179961777
2021,4,178359466
2021,4,178359467
2021,4,178359468
2021,4,179961790
2021,4,179961802
2021,4,179961803
2021,4,179961808
2021,4,179961810
2021,4,179961819
2021,4,179961822
2021,1,179961830
2021,1,179961849
2021,4,179961856
2021,4,179961867
2021,4,179961874
2021,3,179961877
2021,4,179961894
2021,3,179961896
2021,4,179961902
2021,4,179961903
2021,4,179961907
2021,4,179961914
2021,4,179961918
2021,3,179961922
2021,2,179961929
2021,3,179961929
2021,4,179961931
2021,4,179961952
2021,4,179961967
2021,4,179961985
2021,4,179961991
2021,4,179961992
2021,4,179961996
2021,4,179961999
2021,4,179962000
2021,4,179962004
2021,4,179962005
2021,4,179962010
2021,4,179962014
2021,4,179962015
2021,3,179962030
2021,4,179962040
2021,4,179962041
2021,3,179962042
2021,4,179962048
2021,4,179962049
2021,1,179962076
2021,3,179962076
2021,4,179962084
2021,4,179962097
2021,3,179962101
2021,1,179962103
2021,4,179962104
2021,4,179962105
2021,4,179962106
2021,3,179962107
2021,4,179962108
2021,4,179962109
2021,4,179962110
2021,3,179962111
2021,4,179535216
2021,4,179962112
2021,4,179962113
2021,4,179962114
2021,4,179962115
2021,4,179962117
2021,4,179962118
2021,1,179962119
2021,4,179962120
2021,3,179962121
2021,1,179962122
2021,1,179962123
2021,4,179962125
2021,4,179962126
2021,4,179962128
2021,4,179962129
2021,4,179962130
2021,4,179962131
2021,4,179962132
2021,4,179962133
2021,3,179962134
2021,4,179962135
2021,4,179962136
2021,4,179962137
2021,4,179962138
2021,3,179962139
2021,4,179962140
2021,4,179962141
2021,4,179962142
2021,4,179962143
2021,3,179962144
2021,4,179962145
2021,4,179962146
2021,4,179962147
2021,4,179962148
2021,4,179962150
2021,4,179962151
2021,4,179962152
2021,4,178359685
2021,4,178359686
2021,4,179962153
2021,4,178359696
2021,4,179962154
2021,4,179962155
2021,4,179962156
2021,4,179962157
2021,4,179535218
2021,4,179962158
2021,4,179962159
2021,4,179962160
2021,4,179962161
2021,4,179962162
2021,3,179962163
2021,4,179962164
2021,4,179962165
2021,3,179962166
2021,3,179962167
2021,4,179962168
2021,4,179962169
2021,3,179962170
2021,3,179962171
2021,4,179962172
2021,3,179962173
2021,4,179962174
2021,4,179962175
2021,4,179962176
2021,4,178359815
2021,4,179962177
2021,4,179962178
2021,4,179962179
2021,1,179962180
2021,1,179962181
2021,4,179962182
2021,4,179535220
2021,4,179535221
2021,4,179962183
2021,4,179962184
2021,3,179962185
2021,4,179535222
2021,4,179962186
2021,4,178359915
2021,4,179962187
2021,4,179962188
2021,4,179962189
2021,4,179962190
2021,4,178359940
2021,4,178359941
2021,4,179962191
2021,4,179535224
2021,4,179962192
2021,4,179962193
2021,4,179962194
2021,4,179962195
2021,1,179962196
2021,4,179962197
2021,4,179962199
2021,4,179962200
2021,3,179962201
2021,4,179962202
2021,4,179962203
2021,3,179962204
2021,4,179962205
2021,4,179962206
2021,4,179962207
2021,4,179962208
2021,4,179962209
2021,4,178360065
2021,4,179962210
2021,4,179962211
2021,4,179962212
2021,4,179962213
2021,4,179962214
2021,4,179962215
2021,1,179962216
2021,4,179962217
2021,4,179962218
2021,4,178360123
2021,4,179962219
2021,4,179962220
2021,4,179962221
2021,4,179962222
2021,4,179962223
2021,4,179962224
2021,4,179962225
2021,4,179962226
2021,4,179962227
2021,1,179962228
2021,4,179962229
2021,4,179962230
2021,4,179962231
2021,4,179962232
2021,4,179962233
2021,1,179962234
2021,3,178360224
2021,4,179962235
2021,4,179962236
2021,4,179962237
2021,4,179962238
2021,4,179962239
2021,4,179962240
2021,4,178360254
2021,4,179962241
2021,4,179962242
2021,3,179962243
2021,4,179962244
2021,4,179962245
2021,3,178360283
2021,4,179962246
2021,4,179962247
2021,4,179962248
2021,4,179962249
2021,4,179962250
2021,4,179962251
2021,4,179962252
2021,4,179962253
2021,4,179962254
2021,4,179962255
2021,3,179962256
2021,3,179962257
2021,4,179962258
2021,4,179962259
2021,4,179962260
2021,4,179962261
2021,4,179962262
2021,4,179962263
2021,4,179535226
2021,4,179962264
2021,4,179962265
2021,4,179962266
2021,4,179962267
2021,4,179962268
2021,4,179962269
2021,4,178783346
2021,4,179962270
2021,4,179962271
2021,1,179962272
2021,3,179962275
2021,4,179962277
2021,3,179962279
2021,4,179962280
2021,4,178360481
2021,4,179962281
2021,4,179962282
2021,4,179962283
2021,4,179962284
2021,4,179962285
2021,4,179962286
2021,3,179962287
2021,4,179962288
2021,4,179962289
2021,4,179962290
2021,4,180913940
2021,4,180913941
2021,4,179962291
2021,4,179962292
2021,4,178360554
2021,4,178360566
2021,4,178360567
2021,4,179962294
2021,4,178360582
2021,4,178360585
2021,4,179962295
2021,1,179962296
2021,4,178360610
2021,4,178360617
2021,4,178360621
2021,4,178360627
2021,4,178360628
2021,4,180913962
2021,4,180913963
2021,4,178360648
2021,4,178360649
2021,4,178360653
2021,4,178360656
2021,4,178360657
2021,4,178360660
2021,3,178360674
2021,4,178360676
2021,1,178360679
2021,4,178360682
2021,4,178360684
2021,3,178360698
2021,4,178360699
2021,4,178360702
2021,4,179962313
2021,1,179962314
2021,3,179962315
2021,4,179962316
