data_year,weapon_id,offense_id,nibrs_weapon_id
2021,41,179961388,
2021,42,179961391,
2021,41,179961395,
2021,41,179961407,
2021,41,179961408,
2021,41,179961409,
2021,42,179961411,
2021,41,178783345,
2021,42,179961419,
2021,21,179961423,
2021,41,179961424,
2021,41,179961427,
2021,42,179961436,
2021,42,179961437,
2021,42,179961438,
2021,41,179961439,
2021,42,179961440,
2021,42,179961441,
2021,38,179961442,
2021,42,179961461,
2021,41,179961462,
2021,42,179961468,
2021,4,179535210,
2021,41,179961484,
2021,42,179535211,
2021,42,179961499,
2021,41,179961504,
2021,41,179535212,
2021,42,179961515,
2021,42,179961525,
2021,42,179535214,
2021,41,179961530,
2021,41,179961545,
2021,41,179961591,
2021,42,179961600,
2021,42,179961752,
2021,41,179961761,
2021,41,179961769,
2021,7,178359466,
2021,41,179961808,
2021,41,179961819,
2021,41,179961822,
2021,41,179961830,
2021,42,179961907,
2021,42,179961918,
2021,42,179961929,
2021,41,179962042,
2021,38,179962042,
2021,42,179962076,
2021,1,179962103,
2021,5,179962103,
2021,42,179962104,
2021,41,179962106,
2021,41,179535216,
2021,41,179962115,
2021,42,179962117,
2021,41,179962119,
2021,42,179962120,
2021,41,179962122,
2021,42,179962123,
2021,41,179962125,
2021,42,179962126,
2021,42,179962152,
2021,42,178359696,
2021,42,179535218,
2021,41,179962161,
2021,42,179962176,
2021,42,178359815,
2021,42,179962179,
2021,39,179962180,
2021,41,179962181,
2021,42,179535222,
2021,42,178359915,
2021,42,179962187,
2021,42,179962190,
2021,42,179535224,
2021,42,179962192,
2021,42,179962193,
2021,42,179962196,
2021,42,179962197,
2021,41,179962200,
2021,41,178360065,
2021,42,179962212,
2021,42,179962214,
2021,42,179962215,
2021,41,179962216,
2021,42,179962217,
2021,42,179962218,
2021,41,179962228,
2021,41,179962238,
2021,42,178360254,
2021,42,179962262,
2021,42,179962263,
2021,41,179535226,
2021,42,179962267,
2021,41,178783346,
2021,42,179962271,
2021,41,179962272,
2021,41,179962281,
2021,42,178360554,
2021,41,179962296,
2021,42,178360653,
2021,42,178360676,
2021,42,178360679,
2021,42,178360682,
2021,41,179962313,
2021,38,179962314,
2021,42,179962317,
2021,42,179962323,
2021,5,179962324,
2021,41,179962334,
2021,41,179962343,
2021,41,178828301,
2021,41,179962346,
2021,38,179962347,
2021,42,179962348,
2021,41,179962350,
2021,41,179962355,
2021,41,179962363,
2021,41,179962364,
2021,41,179962365,
2021,38,179962365,
2021,41,179962366,
2021,41,179535267,
2021,41,178828303,
2021,41,179962371,
2021,41,179962372,
2021,21,179962378,
2021,39,179962380,
