data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2021,165660355,170501075,17,
2021,165660358,170501079,15,
2021,165660361,170501082,15,
2021,165660365,170501086,18,
2021,165660366,170501087,14,
2021,165660375,170501096,14,
2021,165660376,170501097,26,
2021,165660377,170501098,18,
2021,165660378,170501099,18,
2021,165660379,170501100,5,
2021,164505417,169360752,1,
2021,164505417,169360753,25,
2021,164505418,169360752,25,
2021,164505418,169360753,1,
2021,165660382,170501103,14,
2021,165660382,170501104,14,
2021,165660385,170501107,1,
2021,165660388,170501111,3,
2021,165660389,170501112,3,
2021,165660391,170501115,20,
2021,165660400,170501124,1,
2021,165660401,170501125,9,
2021,165660402,170501126,3,
2021,165660403,170501127,21,
2021,165660404,170501128,27,
2021,165660405,170501129,1,
2021,165660406,170501130,18,
2021,165660421,170501147,18,
2021,165660422,170501148,19,
2021,165660423,170501149,1,
2021,165660428,170501155,3,
2021,165660438,170501166,18,
2021,165660438,170501167,18,
2021,165660438,170501168,18,
2021,165660438,170501169,18,
2021,165249301,170092150,1,
2021,165249302,170092150,1,
2021,165249303,170092150,1,
2021,165660440,170501174,17,
2021,165660448,170501182,18,
2021,165660448,170501183,18,
2021,165249304,170092151,1,
2021,165249304,170092152,1,
2021,165249305,170092151,13,
2021,165249305,170092152,21,
2021,165660452,170501188,18,
2021,165660456,170501192,9,
2021,165249306,170092153,25,
2021,165249306,170092154,3,
2021,165249307,170092153,3,
2021,165249307,170092154,25,
2021,165660466,170501202,4,
2021,165660476,170501213,27,
2021,165249309,170092156,24,
2021,165249309,170092157,24,
2021,165249309,170092158,24,
2021,165249309,170092159,24,
2021,165249310,170092156,24,
2021,165249310,170092157,24,
2021,165249310,170092158,24,
2021,165249310,170092159,21,
2021,165660481,170501218,19,
2021,165660495,170501234,3,
2021,165660547,170501280,3,
2021,165660555,170501287,18,
2021,165660586,170501316,24,
2021,165660694,170501429,21,
2021,165660701,170501438,3,
2021,165660709,170501446,9,
2021,164072562,168930381,9,
2021,164072563,168930381,3,
2021,165660746,170501482,1,
2021,165660756,170501494,1,
2021,165660759,170501497,21,
2021,165660768,170501506,17,
2021,165660846,170501585,21,
2021,165660857,170501596,15,
2021,165660867,170501605,24,
2021,165660961,170501708,27,
2021,165660994,170501739,18,
2021,165661019,170501765,9,
2021,165661020,170501766,18,
2021,165661022,170501768,21,
2021,165661023,170501769,1,
2021,165249312,170092161,18,
2021,165249312,170092162,18,
2021,165249313,170092161,15,
2021,165249313,170092162,25,
2021,165661030,170501777,5,
2021,165661032,170501779,1,
2021,165661032,170501780,1,
2021,165661034,170501782,3,
2021,165661035,170501783,9,
2021,165661037,170501785,17,
2021,165661038,170501786,9,
2021,165661040,170501789,22,
2021,165661041,170501790,18,
2021,165661041,170501791,18,
2021,165661049,170501799,18,
2021,165661049,170501800,18,
2021,165661057,170501808,27,
2021,165661062,170501813,3,
2021,164072748,168930586,18,
2021,164072755,168930593,3,
2021,165249315,170092164,25,
2021,165249315,170092165,1,
2021,165249316,170092164,1,
2021,165249316,170092165,25,
2021,165661069,170501823,16,
2021,165661075,170501830,18,
2021,165661075,170501831,18,
2021,165661075,170501832,18,
2021,165661081,170501839,7,
2021,164072855,168930703,18,
2021,165661083,170501844,15,
2021,165661083,170501845,15,
2021,165661084,170501846,21,
2021,165661085,170501847,21,
2021,165249318,170092167,18,
2021,165249319,170092168,25,
2021,165249319,170092169,18,
2021,165249320,170092168,18,
2021,165249320,170092169,25,
2021,164072941,168930806,1,
2021,165661093,170501857,18,
2021,164072962,168930831,16,
2021,164072962,168930832,18,
2021,165249322,170092171,25,
2021,165249322,170092172,21,
2021,165249323,170092171,21,
2021,165249323,170092172,25,
2021,165661095,170501859,14,
2021,165661096,170501860,3,
2021,165661098,170501862,21,
2021,165661099,170501863,16,
2021,165661103,170501866,24,
2021,165661105,170501868,24,
2021,164073074,168930949,16,
2021,165661111,170501874,15,
2021,165661112,170501875,27,
2021,165661114,170501877,7,
2021,165661115,170501878,18,
2021,165661115,170501879,18,
2021,165661116,170501880,3,
2021,165661117,170501881,3,
2021,164073125,168931008,3,
2021,164073125,168931009,24,
2021,164073125,168931010,24,
2021,165661121,170501885,9,
2021,165661122,170501885,18,
2021,165661125,170501890,24,
2021,165661129,170501894,18,
2021,165661131,170501896,1,
2021,165661131,170501897,1,
2021,164073238,168931139,15,
2021,165661137,170501903,1,
2021,165661137,170501904,1,
2021,165661138,170501903,1,
2021,165661138,170501904,1,
2021,165661142,170501908,24,
2021,165661143,170501909,18,
2021,165661149,170501915,15,
2021,165661150,170501916,1,
2021,165249325,170092174,25,
2021,165249325,170092175,15,
2021,165249326,170092174,15,
2021,165249326,170092175,25,
2021,165661152,170501918,24,
2021,165661153,170501919,1,
2021,164505419,169360754,24,
2021,164505419,169360755,24,
2021,164505420,169360754,24,
2021,164505420,169360755,24,
2021,165661157,170501923,3,
2021,165661158,170501924,3,
2021,165661167,170501934,1,
2021,165661182,170501948,1,
2021,164073579,168931503,18,
2021,164073580,168931503,18,
2021,164073581,168931503,18,
2021,164073582,168931503,18,
2021,164073583,168931503,18,
2021,164073601,168931522,5,
2021,164073603,168931525,3,
2021,164073607,168931528,18,
