data_year,victim_id,offense_id
2021,164072748,178359686
2021,165661063,179962153
2021,164072755,178359696
2021,165661064,179962154
2021,165661064,179962155
2021,165661065,179962156
2021,165661065,179962157
2021,165249315,179535218
2021,165249316,179535218
2021,165661066,179962158
2021,165661067,179962159
2021,165661068,179962160
2021,165661069,179962161
2021,165661070,179962162
2021,165661071,179962163
2021,165661072,179962164
2021,165661073,179962165
2021,165661074,179962166
2021,165661074,179962167
2021,165661075,179962168
2021,165661075,179962169
2021,165661076,179962170
2021,165661077,179962171
2021,165661078,179962172
2021,165661078,179962173
2021,165661079,179962174
2021,165661080,179962175
2021,165661081,179962176
2021,164072855,178359815
2021,165661082,179962177
2021,165661082,179962178
2021,165661083,179962179
2021,165661084,179962180
2021,165661085,179962181
2021,165661086,179962182
2021,165249318,179535220
2021,165249318,179535221
2021,165661087,179962183
2021,165661087,179962184
2021,165661088,179962185
2021,165249319,179535222
2021,165249320,179535222
2021,165661089,179962186
2021,164072941,178359915
2021,165661090,179962187
2021,165661091,179962188
2021,165661092,179962189
2021,165661093,179962190
2021,164072962,178359940
2021,164072962,178359941
2021,165661094,179962191
2021,165249322,179535224
2021,165249323,179535224
2021,165661095,179962192
2021,165661096,179962193
2021,165661097,179962194
2021,165661097,179962195
2021,165661098,179962196
2021,165661099,179962197
2021,165661102,179962199
2021,165661103,179962200
2021,165661104,179962201
2021,165661105,179962202
2021,165661106,179962203
2021,165661106,179962204
2021,165661107,179962205
2021,165661108,179962206
2021,165661109,179962207
2021,165661109,179962208
2021,165661110,179962209
2021,164073074,178360065
2021,165661111,179962210
2021,165661111,179962211
2021,165661112,179962212
2021,165661113,179962213
2021,165661114,179962214
2021,165661115,179962215
2021,165661116,179962216
2021,165661117,179962217
2021,165661118,179962218
2021,164073125,178360123
2021,165661119,179962219
2021,165661119,179962220
2021,165661120,179962221
2021,165661120,179962222
2021,165661121,179962223
2021,165661121,179962224
2021,165661122,179962224
2021,165661123,179962225
2021,165661124,179962226
2021,165661124,179962227
2021,165661125,179962228
2021,165661126,179962229
2021,165661126,179962230
2021,165661127,179962231
2021,165661127,179962232
2021,165661128,179962233
2021,165661128,179962234
2021,164073208,178360224
2021,165661129,179962235
2021,165661130,179962236
2021,165661130,179962237
2021,165661131,179962238
2021,165661132,179962239
2021,165661132,179962240
2021,164073238,178360254
2021,165661133,179962241
2021,165661133,179962242
2021,165661134,179962243
2021,165661135,179962244
2021,165661136,179962245
2021,164073262,178360283
2021,165661137,179962246
2021,165661137,179962247
2021,165661138,179962246
2021,165661138,179962247
2021,165661139,179962248
2021,165661139,179962249
2021,165661140,179962250
2021,165661141,179962251
2021,165661142,179962252
2021,165661142,179962253
2021,165661143,179962254
2021,165661143,179962255
2021,165661144,179962256
2021,165661145,179962257
2021,165661146,179962258
2021,165661146,179962259
2021,165661147,179962260
2021,165661148,179962261
2021,165661149,179962262
2021,165661150,179962263
2021,165249325,179535226
2021,165249326,179535226
2021,165661151,179962264
2021,165661152,179962265
2021,165661152,179962266
2021,165661153,179962267
2021,165661154,179962268
2021,165661155,179962269
2021,164505419,178783346
2021,164505420,178783346
2021,165661156,179962270
2021,165661157,179962271
2021,165661158,179962272
2021,165661161,179962275
2021,165661163,179962277
2021,165661165,179962279
2021,165661166,179962280
2021,164073439,178360481
2021,165661167,179962281
2021,165661168,179962282
2021,165661169,179962283
2021,165661170,179962284
2021,165661171,179962284
2021,165661172,179962285
2021,165661173,179962286
2021,165661174,179962287
2021,165661175,179962288
2021,165661175,179962289
2021,165661176,179962290
2021,166602427,180913940
2021,166602427,180913941
2021,165661177,179962291
2021,165661178,179962292
2021,164073498,178360554
2021,164073508,178360566
2021,164073508,178360567
2021,165661180,179962294
2021,164073522,178360582
2021,164073525,178360585
2021,165661181,179962295
2021,165661182,179962296
2021,164073547,178360610
2021,164073553,178360617
2021,164073556,178360621
