data_year,bias_id,offense_id
2021,88,179961384
2021,88,179961385
2021,88,179961386
2021,88,179961387
2021,88,179961388
2021,99,179961389
2021,88,179961390
2021,88,179961391
2021,88,179961392
2021,88,179961393
2021,88,179961394
2021,88,179961395
2021,88,179961396
2021,88,179961397
2021,88,179961398
2021,88,179961399
2021,88,179961400
2021,88,179961401
2021,88,179961402
2021,88,179961403
2021,88,179961404
2021,88,179961405
2021,88,179961406
2021,88,179961407
2021,88,179961408
2021,88,179961409
2021,88,179961410
2021,88,179961411
2021,88,179961412
2021,88,179961413
2021,88,178783345
2021,88,179961414
2021,88,179961415
2021,88,179961416
2021,88,179961417
2021,88,179961418
2021,88,179961419
2021,88,179961420
2021,88,179961421
2021,88,179961422
2021,88,179961423
2021,88,179961424
2021,88,179961425
2021,88,179961426
2021,88,179961427
2021,88,179961428
2021,88,179961429
2021,88,179961430
2021,88,179961431
2021,88,179961432
2021,88,179961433
2021,88,179961434
2021,88,179961435
2021,88,179961436
2021,88,179961437
2021,88,179961438
2021,88,179961439
2021,88,179961440
2021,88,179961441
2021,88,179961442
2021,88,179961443
2021,88,179961444
2021,88,179961445
2021,88,179961446
2021,88,179961447
2021,88,180913934
2021,88,179961448
2021,88,179961449
2021,88,179961450
2021,88,179961451
2021,88,179961452
2021,88,179961453
2021,88,179961454
2021,88,179961455
2021,88,179961456
2021,88,179961457
2021,88,179961458
2021,88,179961459
2021,88,179961460
2021,88,179961461
2021,88,179961462
2021,88,179961463
2021,88,179961464
2021,88,179961465
2021,88,179961466
2021,88,179961467
2021,88,179961468
2021,88,179961469
2021,88,179961470
2021,88,179961471
2021,88,179961472
2021,88,179961473
2021,88,179961474
2021,88,179961475
2021,88,179961476
2021,88,179961477
2021,88,179961478
2021,88,179961479
2021,88,179961480
2021,88,179961481
2021,88,179961482
2021,88,179961483
2021,88,179535210
2021,88,179961484
2021,88,179961485
2021,88,179961486
2021,88,179961487
2021,88,179961488
2021,88,179961489
2021,88,179961490
2021,88,179961491
2021,88,179961492
2021,88,179961493
2021,88,179961494
2021,88,179961495
2021,88,179961496
2021,88,179961497
2021,88,179535211
2021,88,179961498
2021,88,179961499
2021,88,179961500
2021,88,179961501
2021,88,179961502
2021,88,179961503
2021,88,179961504
2021,88,179961505
2021,88,179961506
2021,88,179961507
2021,99,179535212
2021,88,179961508
2021,88,179961509
2021,88,179961510
2021,88,179961511
2021,88,179961512
2021,88,179961513
2021,88,179961514
2021,88,179961515
2021,88,179961516
2021,88,179961517
2021,88,179961518
2021,88,179961519
2021,88,179961520
2021,88,179961521
2021,88,179961522
2021,88,179961523
2021,88,179961524
2021,88,179961525
2021,88,179961526
2021,88,179961527
2021,88,179961528
2021,88,179961529
2021,88,178359434
2021,88,179535214
2021,88,179961530
2021,88,179961531
2021,88,179961532
2021,88,179961533
2021,88,179961540
2021,88,179961545
2021,88,179961551
2021,88,179961583
2021,88,179961588
2021,88,179961591
2021,88,179961600
2021,88,179961631
2021,88,179961647
2021,88,179961666
2021,88,179961672
2021,88,179961712
2021,88,179961723
2021,88,179961752
2021,88,179961761
2021,88,179961764
2021,88,179961769
2021,88,179961777
2021,88,178359466
2021,88,178359467
2021,88,178359468
2021,88,179961790
2021,88,179961802
2021,88,179961803
2021,88,179961808
2021,88,179961810
2021,88,179961819
2021,88,179961822
2021,88,179961830
2021,88,179961849
2021,88,179961856
2021,88,179961867
2021,88,179961874
2021,88,179961877
2021,88,179961894
2021,88,179961896
2021,88,179961902
2021,88,179961903
2021,88,179961907
2021,88,179961914
2021,88,179961918
2021,88,179961922
2021,88,179961929
2021,88,179961931
2021,88,179961952
2021,88,179961967
2021,88,179961985
2021,88,179961991
2021,88,179961992
2021,88,179961996
2021,88,179961999
2021,88,179962000
2021,88,179962004
2021,88,179962005
2021,88,179962010
2021,88,179962014
2021,88,179962015
2021,88,179962030
2021,88,179962040
2021,88,179962041
2021,88,179962042
2021,88,179962048
2021,88,179962049
2021,88,179962076
2021,88,179962084
2021,88,179962097
2021,88,179962101
2021,88,179962103
2021,88,179962104
2021,88,179962105
2021,88,179962106
2021,88,179962107
2021,88,179962108
2021,99,179962109
2021,99,179962110
2021,88,179962111
2021,88,179535216
2021,88,179962112
2021,88,179962113
2021,88,179962114
2021,88,179962115
2021,88,179962117
2021,88,179962118
2021,88,179962119
2021,88,179962120
2021,88,179962121
2021,88,179962122
2021,88,179962123
2021,88,179962125
2021,88,179962126
2021,88,179962128
2021,88,179962129
2021,88,179962130
2021,88,179962131
2021,88,179962132
2021,88,179962133
2021,88,179962134
2021,88,179962135
2021,88,179962136
2021,88,179962137
2021,88,179962138
2021,88,179962139
2021,99,179962140
2021,99,179962141
2021,88,179962142
2021,88,179962143
2021,88,179962144
2021,88,179962145
2021,88,179962146
2021,88,179962147
2021,88,179962148
2021,88,179962150
2021,88,179962151
2021,88,179962152
2021,88,178359685
2021,88,178359686
2021,88,179962153
2021,88,178359696
2021,88,179962154
2021,88,179962155
2021,88,179962156
2021,88,179962157
2021,88,179535218
2021,88,179962158
2021,88,179962159
2021,88,179962160
2021,88,179962161
2021,88,179962162
2021,88,179962163
2021,88,179962164
2021,88,179962165
