data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2021,45925083,,51
2021,45925084,,51
2021,45925085,,51
2021,46157293,,51
2021,45925086,,51
2021,45925087,,51
2021,45925088,,51
2021,45925089,,51
2021,45925090,,51
2021,45806003,,1
2021,45925091,,51
2021,45806004,,51
2021,45925092,,51
2021,45806005,,51
2021,45806006,,51
2021,45925093,,51
2021,45925094,,51
2021,45925095,,51
2021,45925096,,51
2021,45526061,,51
2021,45806008,,51
2021,45806009,,51
2021,45806010,,51
2021,45806011,,51
2021,45925118,,51
2021,45925162,,51
2021,45925177,,51
2021,45526068,,7
2021,45925192,,51
2021,45925194,,51
2021,45925197,,51
2021,45925203,,51
2021,45925213,,51
2021,45925217,,51
2021,45925222,,51
2021,45925223,,51
2021,45925226,,51
2021,45925229,,51
2021,45925236,,51
2021,45925238,,51
2021,45925240,,51
2021,45925252,,3
2021,45925263,,51
2021,45925264,,51
2021,45925266,,51
2021,45925267,,51
2021,45925271,,51
2021,45925278,,51
2021,45925308,,51
2021,45925309,,51
2021,45925311,,5
2021,45925312,,51
2021,45925313,,51
2021,45925314,,51
2021,45925315,,51
2021,45806013,,51
2021,45925316,,51
2021,45925317,,51
2021,45925318,,51
2021,45925319,,51
2021,45925320,,51
2021,45925321,,51
2021,45925322,,51
2021,45925323,,51
2021,45925324,,51
2021,45925325,,51
2021,45925327,,51
2021,45925328,,51
2021,45526151,,51
2021,45925329,,51
2021,45925330,,51
2021,45925331,,51
2021,45925332,,51
2021,45806014,,51
2021,45925333,,51
2021,45925334,,51
2021,45925335,,51
2021,45925336,,53
2021,45925337,,51
2021,45925338,,51
2021,45925339,,5
2021,45925340,,51
2021,45925341,,51
2021,45925342,,51
2021,45925343,,51
2021,45925344,,52
2021,45925345,,51
2021,45925346,,51
2021,45925347,,51
2021,45925348,,51
2021,45806015,,51
2021,45925349,,51
2021,45925350,,51
2021,45806016,,51
2021,45806017,,51
2021,45925351,,51
2021,45925352,,51
2021,45925353,,51
2021,45925354,,51
2021,45526271,,51
2021,45925355,,51
2021,45925356,,51
2021,45526285,,51
2021,45526286,,51
2021,45925357,,51
2021,45925358,,51
2021,45925359,,51
2021,45925360,,51
2021,45526315,,52
2021,45925361,,51
2021,45925362,,51
2021,45925363,,51
2021,45925364,,51
2021,45526339,,51
2021,45925365,,51
2021,45925366,,51
2021,45925367,,51
2021,45925368,,51
2021,45925369,,51
2021,45925370,,51
2021,45623700,,51
2021,45925371,,51
2021,45925372,,51
2021,45925373,,9
2021,45925374,,3
2021,45526402,,51
2021,45925375,,51
2021,45925376,,51
2021,45925378,,51
2021,45526441,,4
2021,45526446,,51
2021,45526452,,51
2021,45526455,,51
2021,45526457,,51
2021,45526462,,51
2021,45526464,,51
2021,45526465,,51
2021,45526469,,3
2021,45526476,,51
2021,45526477,,51
2021,45925390,,51
2021,45925391,,51
2021,45925392,,51
2021,45925393,,51
2021,45925394,,51
2021,45925395,,51
2021,45925396,,51
2021,45925397,,51
2021,45925398,,51
2021,45925399,,51
2021,45925400,,51
2021,45925401,,51
2021,45925433,,51
2021,45925474,,51
2021,45925519,,51
2021,45925520,,51
2021,45925521,,51
2021,45925522,,51
2021,45634028,,51
2021,45925523,,51
2021,45925524,,51
2021,45925525,,51
2021,45925526,,51
2021,45925527,,51
2021,45925528,,51
2021,45806029,,51
2021,45925529,,51
2021,45925530,,3
2021,45925531,,8
2021,45925532,,51
2021,45925533,,51
2021,45925534,,51
2021,45925535,,51
2021,45925536,,51
2021,45954247,,51
2021,45925537,,3
2021,45925538,,51
2021,45925539,,51
2021,45925540,,51
2021,45526990,,51
2021,45925541,,51
2021,45925542,,51
2021,45925543,,51
2021,45925544,,51
2021,45925545,,51
2021,45527036,,53
2021,45925546,,51
2021,45925547,,51
2021,45925548,,51
2021,45925549,,51
2021,45925550,,51
2021,45925551,,51
2021,45925552,,51
2021,45925553,,51
2021,45925554,,51
2021,45527115,,3
2021,45925555,,51
2021,45925556,,51
2021,45925557,,53
2021,45925558,,51
2021,45925559,,51
2021,45925560,,51
2021,45925561,,51
2021,45925562,,51
2021,45925563,,51
2021,45527173,,52
2021,45925564,,51
2021,45925565,,51
2021,45925566,,51
2021,45925567,,51
2021,45925568,,51
2021,45925569,,51
2021,45925570,,51
2021,45925571,,51
2021,45925572,,51
2021,45925573,,51
2021,45527234,,51
2021,45925574,,51
2021,45925575,,51
2021,45925576,,52
2021,45925578,,51
2021,45925580,,51
2021,45925582,,52
2021,45925584,,51
2021,45925585,,51
2021,45925586,,51
2021,45925588,,51
2021,45925589,,52
2021,45925590,,51
2021,45925591,,52
2021,45925594,,51
2021,45925595,,51
2021,45925596,,51
2021,45925597,,51
2021,45925598,,51
2021,45925599,,51
2021,45925600,,51
2021,45925601,,51
2021,45925602,,51
2021,45925603,,51
2021,45925604,,51
2021,45925607,,51
2021,45925608,,51
2021,45925609,,51
2021,45925610,,51
2021,45925611,,51
2021,45925612,,51
2021,45925613,,51
2021,45925616,,51
2021,45925617,,51
2021,45925620,,51
2021,45925621,,51
2021,45925622,,51
2021,45925623,,51
2021,45925624,,51
2021,45925625,,51
2021,45925626,,51
2021,45925627,,51
2021,45925628,,51
2021,45925629,,51
2021,45925630,,51
2021,45925631,,51
2021,45925632,,51
2021,45925633,,51
2021,45925634,,51
2021,45925635,,51
2021,45925636,,51
2021,45925637,,51
2021,45925638,,51
2021,45925639,,51
2021,45925640,,51
2021,45925641,,51
2021,45925642,,51
2021,45925643,,51
2021,45925644,,51
2021,45925645,,51
2021,45925646,,51
2021,45925647,,51
2021,45925648,,51
2021,45925649,,51
2021,45925650,,51
2021,45925651,,4
2021,45925652,,51
2021,45925653,,51
2021,45925654,,51
2021,45925655,,3
2021,45925656,,51
2021,45925657,,5
2021,45527478,,51
2021,45527479,,51
2021,45925658,,3
2021,45925659,,51
2021,45925660,,51
2021,45925661,,51
2021,45925662,,51
2021,45925663,,51
2021,45925664,,51
2021,45925665,,51
2021,45925666,,51
2021,45925667,,51
2021,45925668,,51
2021,45925669,,51
2021,45925670,,52
2021,45925671,,51
2021,45925672,,51
2021,45925673,,51
2021,45925674,,51
2021,45925675,,51
2021,45925676,,51
2021,45925677,,51
2021,45925678,,51
2021,45925679,,51
2021,45925680,,51
2021,45925681,,51
2021,45527567,,51
2021,45925682,,51
2021,45925683,,51
2021,45925684,,51
2021,45925685,,51
2021,45925686,,51
2021,45925687,,51
2021,45925688,,51
2021,45925689,,51
2021,45925690,,51
2021,45925691,,51
2021,45925692,,51
2021,45925693,,51
2021,45925694,,51
2021,45925695,,52
2021,45925696,,51
2021,45925697,,3
2021,45925698,,51
2021,45925699,,51
2021,45925700,,51
2021,45925701,,51
2021,45925702,,51
2021,45925703,,51
2021,45925704,,51
2021,45527662,,51
2021,45527663,,51
2021,45527664,,51
2021,45925705,,51
2021,45925706,,51
2021,45925707,,51
2021,45925708,,51
2021,45925709,,51
2021,45925710,,51
2021,45925711,,51
2021,45925712,,51
2021,45925713,,51
2021,45925714,,51
2021,45925715,,51
2021,45925716,,51
2021,45925717,,51
2021,45925718,,51
2021,45925719,,51
2021,45925720,,51
2021,45925721,,52
2021,45925722,,51
2021,45925723,,51
2021,45925724,,51
2021,45925725,,51
2021,45925726,,51
2021,45925727,,51
2021,45925728,,51
2021,45925729,,51
2021,45925730,,52
2021,45925731,,51
2021,45925732,,51
2021,45925733,,51
2021,45925734,,51
2021,45925735,,51
2021,45925736,,51
2021,45925737,,51
2021,45634029,,52
2021,45925738,,3
2021,45925739,,51
2021,45925740,,51
2021,45925741,,52
2021,45925742,,52
2021,45925743,,3
2021,45925744,,51
2021,45925745,,51
2021,45925746,,51
2021,45925747,,3
2021,45634030,,51
2021,45925748,,51
2021,45925749,,51
2021,45925750,,51
2021,45925751,,51
2021,45925752,,51
2021,45925753,,51
2021,45925754,,51
2021,45925755,,51
2021,45925756,,51
2021,45925757,,51
2021,46128334,,51
2021,45925759,,51
2021,45925760,,51
2021,45925761,,51
2021,45925762,,51
2021,45925763,,51
2021,45925764,,51
2021,45925765,,51
2021,45925766,,51
2021,46128335,,51
2021,45925768,,51
2021,45925769,,51
2021,45925770,,51
2021,45925771,,51
2021,45925772,,51
2021,45925773,,51
2021,45925774,,51
2021,45925775,,51
2021,45925776,,51
2021,45925777,,51
2021,45925778,,51
2021,45925779,,51
2021,45925780,,51
2021,45925781,,9
2021,45925782,,51
2021,45925783,,51
2021,45925784,,51
2021,45925785,,51
2021,45925786,,51
2021,45925787,,51
2021,45925788,,8
2021,45527981,,51
2021,45527982,,51
2021,45925789,,51
2021,45925790,,51
2021,45925791,,51
2021,45925792,,51
2021,45925793,,51
2021,45925794,,51
2021,45925795,,51
2021,45925796,,51
2021,45925797,,52
2021,45925798,,51
2021,45528015,,51
2021,45925799,,51
2021,45925800,,51
2021,45925801,,51
2021,45925802,,51
2021,45528037,,51
2021,45925803,,51
2021,45925804,,51
2021,45925805,,51
2021,45925806,,51
2021,45528054,,51
2021,45925807,,51
2021,45925808,,51
2021,45925809,,51
2021,45925810,,51
2021,45925811,,51
2021,45925812,,51
