data_year,victim_id,injury_id
2021,165660358,5
2021,165660361,5
2021,165660365,5
2021,165660375,5
2021,165660376,5
2021,165660377,5
2021,165660379,5
2021,164505417,5
2021,164505418,5
2021,165660385,4
2021,165660388,5
2021,165660389,5
2021,165660391,5
2021,165660400,5
2021,165660401,5
2021,165660402,5
2021,165660403,5
2021,165660404,5
2021,165660405,4
2021,165660406,5
2021,165660421,5
2021,165660422,5
2021,165660428,5
2021,165249301,5
2021,165249302,5
2021,165249303,5
2021,165660440,5
2021,165249304,4
2021,165249305,4
2021,165660452,5
2021,165660456,4
2021,165249306,5
2021,165249307,5
2021,165660466,5
2021,165660476,5
2021,165249309,4
2021,165249310,4
2021,165660481,5
2021,165660495,5
2021,165660547,5
2021,165660555,5
2021,165660694,5
2021,165660701,5
2021,165660709,5
2021,164072562,5
2021,164072563,5
2021,165660746,4
2021,165660756,5
2021,165660759,4
2021,165660768,5
2021,165660846,5
2021,165660857,5
2021,165660867,5
2021,165660961,5
2021,165660994,5
2021,165661019,5
2021,165661020,5
2021,165661022,5
2021,165249312,5
2021,165249313,4
2021,165661030,5
2021,165661032,4
2021,165661034,5
2021,165661035,5
2021,165661037,5
2021,165661038,5
2021,165661040,4
2021,165661041,5
2021,165661062,5
2021,164072755,5
2021,165249315,5
2021,165249316,5
2021,165661069,5
2021,165661081,5
2021,164072855,5
2021,165661083,5
2021,165661084,5
2021,165661085,5
2021,165249319,4
2021,165249320,4
2021,164072941,5
2021,165661090,5
2021,165661093,5
2021,165249322,4
2021,165249323,5
2021,165661095,5
2021,165661096,5
2021,165661098,5
2021,165661099,5
2021,165661103,4
2021,164073074,4
2021,165661112,5
2021,165661114,5
2021,165661115,5
2021,165661116,5
2021,165661117,5
2021,165661118,5
2021,165661125,5
2021,165661131,4
2021,164073238,5
2021,165661149,5
2021,165661150,5
2021,165249325,5
2021,165249326,4
2021,165661153,5
2021,164505419,5
2021,164505420,5
2021,165661157,5
2021,165661158,5
2021,165661167,5
2021,164073498,5
2021,165661182,5
2021,164073579,5
2021,164073580,5
2021,164073581,5
2021,164073582,5
2021,164073583,5
2021,164073601,5
2021,164073603,5
2021,164073607,5
2021,165661199,5
2021,165661200,5
2021,165661203,5
2021,165661211,5
2021,165661212,5
2021,165661220,5
2021,165661228,5
2021,164548579,5
2021,164548580,5
2021,165661231,5
2021,165661232,5
2021,165661233,5
2021,165661235,5
2021,165661239,5
2021,165661246,5
2021,165661247,5
2021,165661248,5
2021,165661249,5
2021,165249367,4
2021,165249368,4
2021,164548583,5
2021,164548584,5
2021,165661254,5
2021,165661255,5
2021,165661260,5
2021,165661262,5
2021,165661265,5
2021,165661274,5
2021,165661280,5
2021,165661305,5
2021,165661337,5
2021,165661384,5
2021,165661390,5
2021,165661439,5
2021,165661533,5
2021,165661564,5
2021,165661586,5
2021,165661617,5
2021,165661619,5
2021,165661623,5
2021,165661626,5
2021,165661629,5
2021,165661632,4
2021,165661633,5
2021,165661634,5
2021,165661635,5
2021,165661636,5
2021,165661637,4
2021,165661638,5
2021,165661640,5
2021,165661642,5
2021,165661643,5
2021,165661647,5
2021,165661649,5
2021,165661650,4
2021,165661651,5
2021,165661652,5
2021,165661653,5
2021,165661654,5
2021,165661658,5
2021,165661660,4
2021,165661661,2
2021,165661661,4
2021,165661665,5
2021,164548585,5
2021,164548586,5
2021,164548587,5
2021,165661667,4
2021,165661668,5
2021,165661670,5
2021,165661672,5
2021,165661678,5
2021,165661681,5
2021,165661682,5
2021,165661684,5
2021,165661685,5
2021,165661687,5
2021,165661688,5
2021,165661690,5
2021,165661691,5
2021,165661692,5
2021,165661695,5
2021,165661697,5
2021,165661698,5
2021,165661699,5
2021,165661701,5
2021,165661702,5
2021,165661708,1
2021,165661711,5
2021,165661716,5
2021,165661725,5
2021,165661726,5
2021,165661729,5
2021,165661734,5
2021,165661736,5
2021,165661742,5
2021,165661743,5
2021,165661744,4
2021,165661747,5
2021,165661749,5
2021,165661750,5
2021,165249369,5
2021,165661753,5
2021,165661759,5
2021,165661760,5
2021,165661762,5
2021,165661766,5
2021,165661771,5
2021,165661772,4
2021,165661775,5
2021,165661776,5
2021,165661785,5
2021,165661787,4
2021,165661793,5
2021,165661796,5
2021,165661797,5
2021,165661803,5
2021,165661811,4
2021,165661813,5
2021,165661815,4
2021,165661817,4
2021,165249371,5
2021,165661818,5
2021,165661819,4
2021,165661824,5
2021,165661831,5
2021,165661836,5
2021,165661838,5
2021,165661844,2
2021,165661845,5
2021,165788962,5
2021,165788971,5
2021,165788991,5
2021,165788994,5
2021,165789011,5
2021,165789012,5
2021,165789020,5
2021,165789026,5
2021,165789030,5
2021,165789048,5
2021,165789050,5
2021,165661846,5
2021,165661847,5
2021,165661848,5
2021,165661853,5
2021,165661864,5
2021,165661871,5
2021,165661876,5
2021,165661877,5
2021,165661878,5
2021,165661880,5
2021,165661882,5
2021,165661883,5
2021,165661884,5
2021,165661889,5
2021,165661894,5
2021,165661897,4
2021,165661898,5
2021,165661900,5
2021,165661901,5
2021,165661902,5
2021,165661905,5
2021,165661916,5
2021,165661917,5
2021,165661919,5
2021,165661920,5
2021,165661921,5
2021,165661923,5
2021,165661931,5
2021,165661932,5
2021,165661934,5
2021,165661935,5
2021,165661937,5
2021,165661938,5
2021,165661939,5
2021,165661940,5
2021,165661942,7
2021,165661943,5
2021,165661944,5
2021,165661945,5
2021,165661946,5
2021,165661947,5
2021,165661949,5
2021,165661953,5
2021,165661954,5
2021,165661956,5
2021,165661957,5
2021,165661958,5
2021,165661960,5
2021,165661961,5
2021,165661962,5
2021,165661963,5
2021,165661971,5
2021,165661978,5
2021,165661979,5
2021,165661983,5
2021,165661984,5
2021,165661986,5
2021,165661988,5
2021,165661994,5
2021,165661998,5
2021,165661999,5
2021,165662000,5
2021,165662008,5
2021,165662009,5
2021,165662010,5
2021,165662012,5
2021,165662013,5
2021,165662014,5
2021,165662023,5
2021,165662027,5
2021,165662028,5
2021,164075579,5
2021,165662031,5
2021,165662033,5
2021,165662038,5
2021,165662044,5
2021,165662045,5
2021,165662046,5
2021,165662049,5
2021,165662050,5
2021,165662051,5
2021,165662054,5
2021,165662058,5
2021,165662059,5
2021,165662060,5
2021,165662063,5
2021,165662064,5
2021,165662065,5
2021,165662069,2
2021,165662070,5
2021,165662071,5
2021,165662079,5
2021,165662080,5
2021,165662081,5
2021,164548588,4
2021,164548589,4
2021,164548590,4
2021,165662088,5
2021,165662090,5
2021,165662091,5
2021,165662092,5
2021,165662096,5
2021,165662097,5
2021,165662099,5
2021,165662100,5
2021,165662102,5
2021,165662111,5
2021,165662112,5
2021,165662113,5
2021,165662114,5
2021,165662117,5
2021,165662119,5
2021,165662125,5
2021,165662126,5
2021,165662127,5
2021,165662128,5
2021,165662129,5
2021,165662130,5
2021,165662132,5
2021,165662134,5
2021,165662142,5
2021,165662143,5
2021,165662148,5
2021,165662157,5
2021,165662160,5
2021,165662161,5
2021,165662162,5
2021,165662165,5
2021,165662166,5
2021,165662167,5
2021,165662168,4
2021,165662169,5
2021,165662170,5
2021,165662180,5
2021,165662182,5
2021,165662184,5
2021,165662185,5
2021,165662189,5
2021,164076053,4
2021,165662203,2
2021,165662203,4
2021,165662204,5
2021,165662205,4
2021,165662206,4
2021,165662207,5
2021,165662212,5
2021,165662219,5
2021,165662221,5
2021,165662226,5
2021,165662228,5
2021,165662229,5
2021,165662230,4
2021,165662232,5
2021,165662233,5
2021,165662234,5
2021,165662238,5
2021,165662240,5
2021,165662244,5
2021,165662245,5
2021,165662246,5
2021,165662253,5
2021,165662261,5
2021,165662262,5
2021,165662263,5
2021,165662266,5
2021,165662271,2
2021,165662271,3
2021,165662277,4
2021,165662281,5
2021,165662289,5
2021,165662295,5
2021,165662302,5
2021,165662303,5
2021,165662306,5
2021,165662307,5
2021,165662310,5
2021,165662311,5
2021,165662318,5
2021,165662322,2
2021,165662329,5
2021,165662330,5
2021,165662331,5
2021,165662336,5
2021,165662337,5
2021,165662343,5
2021,165662344,5
2021,165662346,5
2021,165662347,5
2021,165662348,5
2021,165662349,5
2021,165662350,5
2021,165662361,5
2021,165662365,4
2021,165662367,4
2021,165662369,5
2021,165662370,5
2021,165662371,5
2021,165662372,5
2021,165662375,5
2021,165662380,5
2021,165662382,5
2021,165662384,5
2021,165662396,5
2021,165662406,5
2021,165662409,5
2021,165662410,5
2021,165662421,5
2021,165662426,4
2021,165662427,5
2021,165662432,5
2021,165662433,5
2021,165662445,5
2021,165662447,5
2021,165662449,5
2021,165662451,5
2021,165662453,5
2021,165662454,4
2021,165662465,5
2021,165662466,5
2021,165662468,4
2021,165662470,5
2021,165662474,1
2021,165662475,5
2021,165662476,5
2021,165662481,5
2021,165662482,5
2021,165662483,5
2021,165662484,5
2021,165662485,5
2021,165662489,4
2021,165662490,4
2021,165662491,5
2021,165662498,4
2021,165662499,4
2021,164076817,5
2021,165662502,5
2021,165662512,5
2021,164548591,4
2021,164548592,5
2021,165662516,5
2021,165662519,5
2021,165662520,5
2021,165662528,5
2021,165662531,5
2021,165662534,4
2021,165662535,5
2021,165662537,5
2021,165662542,5
2021,165662547,5
2021,165662549,5
2021,165662550,5
2021,165662553,5
2021,165662554,5
2021,165662555,5
2021,165662560,5
2021,165662562,5
2021,165662563,5
2021,165662565,5
2021,165662567,5
2021,165662568,5
2021,165662575,7
2021,165662576,5
2021,165662577,5
2021,165662578,5
2021,165662579,5
2021,165662580,5
2021,165662581,5
2021,165662594,5
2021,165662598,5
2021,165662599,5
2021,165662612,5
2021,165662614,5
2021,165662618,5
2021,165662621,5
2021,165662623,5
2021,164077203,5
2021,165662626,5
2021,165662627,4
2021,165662628,4
2021,165662629,3
2021,165662630,5
2021,165662635,5
2021,165662638,5
2021,165662639,5
2021,165662640,5
2021,165662645,5
2021,165662647,5
2021,165662648,5
2021,165662650,5
2021,165662653,5
2021,165662654,5
2021,165662656,5
2021,165662658,5
2021,165662659,5
2021,165662667,5
2021,165662668,5
2021,165662671,5
2021,165662676,5
2021,165662685,5
2021,165662694,5
2021,165662696,5
2021,165662697,5
2021,165662707,5
2021,165662716,5
2021,164079932,5
2021,165662717,5
2021,165662718,5
2021,165662720,5
2021,165662722,5
2021,165662723,5
2021,165662724,5
2021,165662725,4
2021,165662726,5
2021,165662727,5
2021,165662728,5
2021,165662729,5
2021,165662730,5
2021,165662734,5
2021,165662735,5
2021,165662736,4
2021,165662738,5
2021,165662740,5
2021,165662741,5
2021,165662744,5
2021,165662748,5
2021,165662749,5
2021,165662750,5
2021,165662752,5
2021,165662754,5
2021,165662758,5
2021,165662760,5
2021,165662761,5
2021,165662762,5
2021,165662763,5
2021,165662766,5
2021,165662767,5
2021,165662768,5
2021,165662773,5
2021,147785826,5
2021,165662774,5
2021,165662779,5
2021,165662780,5
2021,165662781,5
2021,165662782,5
2021,165662786,5
2021,165662789,5
2021,165662790,5
2021,165662791,5
2021,165662798,5
2021,165662799,5
2021,165662808,5
2021,165662809,5
2021,165662811,5
2021,166480083,5
2021,165662818,5
2021,164548594,5
2021,165662827,5
2021,165662829,5
2021,165662832,5
2021,165662837,5
2021,165662839,5
2021,165662840,5
2021,165662841,5
2021,165662842,5
2021,165662845,5
2021,165662846,5
2021,165662847,5
2021,165662848,5
2021,165662849,5
2021,165662850,5
2021,165662852,5
2021,165662858,5
2021,165662859,5
2021,165662862,3
2021,165662862,6
2021,165662863,5
2021,165662864,5
2021,165662865,5
2021,165662874,5
2021,165662877,5
2021,165662880,5
2021,165662893,5
2021,147785683,4
2021,165662894,5
2021,165662896,5
2021,165662897,5
2021,165662898,4
2021,165662899,4
2021,165662901,5
2021,165662902,5
2021,165662909,5
2021,165662910,4
2021,147789002,4
2021,147787976,4
2021,150303581,4
2021,147787975,5
2021,147785686,5
2021,165662912,5
2021,165662913,5
2021,165662914,5
2021,147785691,5
2021,147785696,5
2021,166480171,5
2021,166480172,4
2021,165662923,5
2021,165662924,5
2021,165662925,5
2021,165662926,5
2021,165662927,4
2021,165662932,5
2021,147785695,4
2021,147785694,4
2021,165662933,5
2021,165662934,5
2021,165662940,5
2021,147785697,5
2021,147785698,5
2021,165662944,5
2021,151473377,3
2021,151473378,5
2021,165662947,5
2021,147785704,5
2021,147785705,4
2021,147785709,5
2021,165662949,5
