data_year,criminal_act_id,offense_id
2021,3,179961385
2021,6,179961386
2021,3,179961387
2021,9,179961388
2021,8,179961389
2021,1,179961390
2021,9,179961391
2021,3,179961392
2021,3,179961393
2021,6,179961394
2021,9,179961395
2021,1,179961397
2021,1,179961398
2021,6,179961399
2021,6,179961401
2021,6,179961402
2021,6,179961403
2021,7,179961403
2021,1,179961404
2021,3,179961405
2021,6,179961406
2021,9,179961407
2021,9,179961408
2021,9,179961409
2021,6,179961410
2021,9,179961411
2021,3,179961412
2021,7,179961412
2021,9,178783345
2021,6,179961415
2021,3,179961416
2021,6,179961416
2021,3,179961417
2021,6,179961417
2021,6,179961418
2021,9,179961419
2021,6,179961421
2021,6,179961422
2021,9,179961423
2021,9,179961424
2021,6,179961425
2021,6,179961426
2021,9,179961427
2021,6,179961428
2021,7,179961429
2021,8,179961429
2021,7,179961430
2021,8,179961430
2021,6,179961431
2021,6,179961432
2021,6,179961433
2021,6,179961434
2021,6,179961435
2021,9,179961436
2021,9,179961437
2021,9,179961438
2021,9,179961439
2021,9,179961440
2021,9,179961441
2021,9,179961442
2021,8,179961443
2021,6,179961444
2021,8,179961445
2021,6,179961446
2021,7,179961447
2021,6,180913934
2021,6,179961448
2021,6,179961449
2021,6,179961450
2021,1,179961451
2021,6,179961452
2021,7,179961452
2021,8,179961452
2021,1,179961454
2021,6,179961454
2021,8,179961454
2021,6,179961456
2021,7,179961456
2021,8,179961456
2021,6,179961458
2021,7,179961458
2021,8,179961458
2021,6,179961460
2021,7,179961460
2021,8,179961460
2021,9,179961461
2021,9,179961462
2021,6,179961464
2021,6,179961465
2021,3,179961466
2021,2,179961467
2021,3,179961467
2021,8,179961467
2021,9,179961468
2021,6,179961469
2021,7,179961469
2021,6,179961471
2021,6,179961472
2021,7,179961472
2021,7,179961473
2021,8,179961473
2021,8,179961474
2021,6,179961475
2021,3,179961476
2021,7,179961476
2021,6,179961477
2021,6,179961479
2021,6,179961480
2021,1,179961482
2021,6,179961483
2021,8,179961483
2021,9,179535210
2021,9,179961484
2021,6,179961485
2021,6,179961486
2021,6,179961487
2021,6,179961489
2021,7,179961490
2021,6,179961491
2021,7,179961492
2021,6,179961493
2021,6,179961496
2021,6,179961497
2021,9,179535211
2021,6,179961498
2021,9,179961499
2021,6,179961500
2021,6,179961502
2021,3,179961503
2021,9,179961504
2021,7,179961505
2021,6,179961506
2021,6,179961507
2021,9,179535212
2021,6,179961508
2021,7,179961509
2021,6,179961510
2021,8,179961511
2021,7,179961512
2021,6,179961513
2021,7,179961513
2021,8,179961514
2021,9,179961515
2021,6,179961516
2021,6,179961517
2021,7,179961517
2021,6,179961518
2021,3,179961519
2021,6,179961520
2021,3,179961521
2021,6,179961522
2021,6,179961523
2021,7,179961524
2021,9,179961525
2021,7,179961526
2021,6,179961527
2021,7,179961527
2021,6,179961528
2021,1,179961529
2021,6,178359434
2021,8,178359434
2021,9,179535214
2021,9,179961530
